id,English,Chinese (Traditional),Chinese (Simplified),Vietnamese
A_Gem,Gem,寶石,宝石,ジェム,보석,Gema,Juwel,Joia,Gemme,Самоцвет,Klejnot,جواهر,الأحجار الكريمة,อัญมณี,Đá
aram2_yaoqi_desc_26,"For every {0} instances of elemental damage dealt, gains {1} Rosemary Beans.",每造成{0}次元素傷害獲得{1}迷迭豆。,每造成{0}次元素伤害获得{1}迷迭豆。,エレメンタルダメージを{0}回与えるごとに、ローズマリー豆を{1}個獲得する。,원소 대미지를 {0}회 가할 때마다 로즈메리 콩 {1}개를 획득합니다.,"Por cada {0} vez/veces que se inflija daño elemental, se obtienen {1} frijol(es) de romero.",Pro {0} Instanzen Elementschaden erhältst du {1} Rosmarinbohnen.,"A cada {0} instâncias de dano elemental causado, ganha {1} Feijões de Alecrim.","Pour chaque tranche de {0} dégâts élémentaires infligés, vous gagnez {1} haricots de romarin.",Каждый {0}-й раз при нанесении урона от стихий получает бобы Розмарина х{1}.,Co {0} pkt zadanych obrażeń od żywiołów zyskujesz fasolki rozmarynu ({1}).,,,สำหรับ ทุก ความ เสีย หาย ธาตุ  {0}  หน่วย ที่ ทำ ได้ รับ ถั่ว โรส แมรี่  {1}  เม็ด,Cứ gây {0} lần DMG Nguyên Tố nhận {1} Đậu Thất Lạc.
aram2_yaoqi_desc_27,"Gains +1 defense for every {0} enemies defeated, up to +{1}, for {2}s.",每擊敗{0}個敵人+1防禦，最多+{1}，持續{2}秒。,每击败{0}个敌人+1防御，最多+{1}，持续{2}秒。,敵を{0}体倒すごとに、{2}秒間、防御+1を得る。最大+{1}。,적 {0}명을 처치할 때마다 방어력이 1 증가합니다. 최대 {1}까지 누적되고 {2}초간 유지됩니다.,"Gana +1 defensa por cada {0} enemigo(s) derrotado(s), hasta +{1}, durante {2} s.","Erhält pro {0} besiegten Gegnern für {2} Sek. +1 Verteidigung, bis zu +{1}.","Ganha +1 de defesa a cada {0} inimigos derrotados, até +{1}, por {2} s.",Vous gagnez 1 point de défense tous les {0} ennemis vaincus pendant {2} s (jusqu'à +{1}).,"За каждого {0}-го побежденного врага получает +1 к защите на {2} сек., максимум +{1}.",Co {0} pokonanych wrogów zyskujesz +1 do obrony na {2} s. Maksymalna premia: +{1}.,,,ได้ รับ +1 พลัง ป้องกัน ทุก ครั้ง ที่ เอาชนะ ศัตรู  {0}  ตัว สูงสุด + {1}  เป็น เวลา  {2}  วินาที,"Cứ đánh bại {0} kẻ địch +1 Phòng Thủ, tối đa +{1}, kéo dài {2}s."
aram2_yaoqi_desc_28,Gains +{0} {a} upon destroying a plant. This bonus expires at the end of the battle.,每次摧毀植物+{0}{a}，直到戰鬥結束。,每次摧毁植物+{0}{a}，直到战斗结束。,植物を破壊すると、{a}+{0}を得る。このボーナスは戦闘終了時に消失する。,식물 파괴 시 {a}이(가) {0} 증가합니다. 이 보너스는 전투 종료 시 사라집니다.,Gana +{0} de {a} al destruir una planta. Esta bonificación desaparece cuando termina el combate.,Erhält beim Zerstören einer Pflanze +{0} {a}. Dieser Bonus läuft am Ende des Kampfes ab.,Ganha +{0} de {a} ao destruir uma planta. Esse bônus expira ao fim da batalha.,{a} augmente de {0} quand vous détruisez une plante. Ce bonus expire à la fin du combat.,При уничтожении растения дается {a} +{0}. Бонус исчезает в конце боя.,Po zniszczeniu rośliny zyskujesz +{0} do: {a}. Wzmocnienie wygasa na końcu bitwy.,,,ได้ รับ + {0}  {a} เมื่อ ทำลาย ต้นไม้ โบนัส นี้ จะ หมด อายุ เมื่อ สิ้น สุด การ ต่อสู้,"Mỗi lần phá hủy thực vật +{0}{a}, cho đến khi kết thúc chiến đấu."
aram2_yaoqi_desc_29,"Gains +{1} {f} for every {0} energy consumed, up to +{2}. This bonus expires at the end of the battle.",每消耗{0}能量+{1}{f}，最多+{2}，直到戰鬥結束。,每消耗{0}能量+{1}{f}，最多+{2}，直到战斗结束。,戦闘中、エネルギーを{0}消費するごとに{f}+{1}を得る。最大+{2}。このボーナスは戦闘終了時に消失する。,"에너지를 {0} 소모할 때마다 {f}이(가) {1} 증가하며, 이는 최대 {2}까지 누적됩니다. 이 보너스는 전투 종료 시 사라집니다.","Gana +{1} de {f} por cada {0} de energía consumida, hasta +{2}. Esta bonificación desaparece cuando termina el combate.","Erhält pro {0} verbrauchter Energie +{1} {f}, bis zu +{2}. Dieser Bonus läuft am Ende des Kampfes ab.","Ganha +{1} de {f} a cada {0} de energia consumida, até +{2}. Esse bônus expira ao fim da batalha.",{f} augmente de {1} tous les {0} points d'énergie consommés (jusqu'à +{2}). Ce bonus expire à la fin du combat.,"За кажд. {0} ед. потраченной энергии дается {f} +{1}, максимум +{2}. Бонус исчезает в конце боя.",Co {0} pkt zużytej energii zyskujesz +{1} do: {f}. Maksymalna premia: +{2}. Wzmocnienie wygasa na końcu bitwy.,,,ได้ รับ +  {1}  {f} ต่อ พลังงาน  {0}  หน่วย ที่ ใช้ สูงสุด + {2}  โบนัส นี้ จะ หมด อายุ เมื่อ สิ้น สุด การ ต่อสู้,"cứ tiêu hao {0} Năng Lượng +{1}{f}, tối đa +{2}, cho đến khi kết thúc chiến đấu."
aram2_yaoqi_desc_3,"For every {0} units of distance moved in battle, gains +{1} {c}, up to +{2}. This bonus expires at the end of the battle.",戰鬥中每移動{0}距離+{1}{c}，最多+{2}，直到戰鬥結束。,战斗中每移动{0}距离+{1}{c}，最多+{2}，直到战斗结束。,戦闘中、{0}ユニット距離移動するごとに、{c}+{1}を得る。最大+{2}。このボーナスは戦闘終了時に消失する。,"전투 중 {0} 단위 거리만큼 이동할 때마다 {c}이(가) {1} 증가하며, 이는 최대 {2}까지 누적됩니다. 이 보너스는 전투 종료 시 사라집니다.","Por cada {0} unidades de distancia recorridas en batalla, gana +{1} de {c}, hasta +{2}. Esta bonificación desaparece cuando termina el combate.","Erhält pro {0} im Kampf zurückgelegten Distanzeinheiten +{1} {c}, bis zu +{2}. Dieser Bonus läuft am Ende des Kampfes ab.","A cada {0} unidades de distância percorridas em batalha, ganha +{1} de {c}, até +{2}. Esse bônus expira ao fim da batalha.",{c} augmente de {1} toutes les {0} unités de distance parcourues en combat (jusqu'à +{2}). Ce bonus expire à la fin du combat.,"За кажд. {0} пройд. ед. расстояния в бою дается {c} +{1}, максимум +{2}. Бонус исчезает в конце боя.",Co {0} jedn. dystansu przebytego podczas walki zyskujesz +{1} do: {c}. Maksymalna premia: +{2}. Wzmocnienie wygasa na końcu bitwy.,,,ต่อ ระยะ ทาง  {0}  หน่วย ที่ เคลื่อนที่ ใน การ ต่อสู้ ได้ รับ + {1}  {c} สูงสุด + {2}  โบนัส นี้ จะ หมด อายุ เมื่อ สิ้น สุด การ ต่อสู้,"Trong chiến đấu cứ di chuyển {0} khoảng cách +{1}{c}, tối đa +{2}, cho đến khi kết thúc chiến đấu."
aram2_yaoqi_desc_30,"Defeating non-boss enemies captures up to {0} of them as your minions until the end of battle. For every {1} health lost, you can capture 1 additional enemy.",擊敗非首領敵人時將其俘獲成隨從，直到戰鬥結束，最多俘獲{0}個敵人。每損失{1}血量可額外俘獲1個敵人。,击败非首领敌人时将其俘获成随从，直到战斗结束，最多俘获{0}个敌人。每损失{1}血量可额外俘获1个敌人。,ボスではない敵を倒すと、戦闘終了時まで、その敵を子分として捕獲する。最大{0}体。HPを{1}失うごとに、1体追加で捕獲できるようになる。,보스가 아닌 적 처치 시 최대 {0}명을 미니언으로 포획해 전투 종료 시까지 유지합니다. 체력이 {1} 감소할 때마다 추가로 1명 더 포획할 수 있습니다.,"Al derrotar a enemigos que no sean jefes, se captura hasta a {0} de ellos y se los convierte en súbditos hasta el final de la batalla. Por cada {1} de vida perdida, se puede capturar a 1 enemigo adicional.","Beim Besiegen von Gegnern, die keine Bosse sind, werden {0} von ihnen gefangen und sind bis zum Ende des Kampfs deine Lakaien. Pro {1} verlorenen LP kannst du 1 zusätzlichen Gegner fangen.","Derrotar inimigos comuns transforma até {0} deles em seus lacaios até o fim da batalha. Para cada {1} de vida perdida, você pode capturar 1 inimigo adicional.","Vaincre des ennemis (hors boss) vous permet d'en capturer jusqu'à {0} pour en faire vos sbires jusqu'à la fin du combat. Tous les {1} points de santé perdus, vous pouvez capturer 1 ennemi supplémentaire.","После победы над врагами, не являющимися боссами, максимум {0} из них можно сделать своими приспешниками до конца боя. За кажд. {1} ед. потерянного здоровья можно захватить еще 1 врага.",Pokonanie wrogów niebędących bossami pozwala schwytać maksymalnie {0} z nich i użyć ich jako sługusów do końca walki. Co {1} pkt utraconego zdrowia możesz schwytać 1 dodatkowego przeciwnika.,,,เมื่อ เอาชนะ ศัตรู ที่ ไม่ใช่ บอส จะ จับ พวก มัน สูงสุด  {0}  ตัว เป็น สมุน ของ คุณ จน สิ้น สุด การ ต่อสู้ ต่อ พลัง ชีวิต  {1}  หน่วย ที่ เสีย ไป คุณ สามารถ จับ ศัตรู ได้ เพิ่ม ขึ้น 1 ตัว,"Khi đánh bại kẻ địch không phải BOSS sẽ thu phục thành Tùy Tùng, cho đến khi kết thúc chiến đấu, tối đa thu phục {0} kẻ địch. Cứ tổn thất {1} HP có thể thu phục thêm 1 kẻ địch."
aram2_yaoqi_desc_31,"When using a skill, consumes {0} {f} to enable your weapon attacks to deal {1}  area damage for {2}s.",使用技能時可以消耗{0}{f}，使武器命中時額外造成{1}範圍傷害，持續{2}秒。,使用技能时可以消耗{0}{f}，使武器命中时额外造成{1}范围伤害，持续{2}秒。,スキルを使うと、{f}を{0}消費し、{2}秒間、武器攻撃が{1}範囲ダメージを与えるようになる。,스킬 사용 시 {f}을(를) {0} 소모해 {2}초 동안 무기 공격이 광역 대미지를 {1} 줍니다.,"Al utilizar una habilidad, se usa {0} de {f} para que tus ataques de arma inflijan {1} de daño de área durante {2} s.","Beim Einsatz einer Fähigkeit werden {0} {f} verbraucht, damit deine Waffenangriffe für {2} Sek. {1} Flächenschaden verursachen.","Ao usar uma habilidade, consome {0} de {f} para permitir que seus ataques com arma causem {1} de dano em área por {2} s.","Quand vous utilisez une compétence, vous consommez {0} points d'{f} et vos attaques armées infligent {1} points de dégâts de zone pendant {2} s.","При использовании навыка расходуется {f} х{0}, чтобы атаки оружием наносили {1} ед. урона по площади в течение {2} сек.","Przy użyciu umiejętności zużywa {0} pkt cechy {f}, by ataki bronią zadawały {1} pkt obrażeń obszarowych przez {2} s.",,,เมื่อ ใช้ ทักษะ ใช้  {0}  {f} เพื่อ ทำให้ การ โจมตี ด้วย อาวุธ ของ คุณ สร้าง ความ เสีย หาย เป็น บริเวณ  {1}  เป็น เวลา  {2}  วินาที,"Khi sử dụng kỹ năng có thể tiêu hao {0}{f}, khi khiến Vũ Khí đánh trúng sẽ gây thêm {1} DMG phạm vi, kéo dài {2}s."
aram2_yaoqi_desc_32,"Gains +{0} {b} per second while moving. When {b} exceeds {1}, resets this effect and releases {2} flying daggers, dealing {3} damage.",移動時每秒+{0}{b}，{b}大於{1}時重置此效果並釋放{2}把飛刀，造成{3}傷害。,移动时每秒+{0}{b}，{b}大于{1}时重置此效果并释放{2}把飞刀，造成{3}伤害。,移動中、毎秒{b}+{0}を得る。{b}が{1}を超えるとこの効果はリセットされ、ダガーを{2}本放ち、{3}ダメージを与える。,이동 중 초당 {0}씩 {b}이(가) 증가합니다. {b} {1} 초과 시 효과가 초기화되고 비행 단검 {2}개를 발사해 대미지를 {3} 줍니다.,"Al moverse, se obtiene +{0} de {b} por segundo. Cuando {b} pasa de {1}, se restablece este efecto y se lanzan {2} daga(s) voladora(s) que infligen {3} de daño.","Erhält beim Bewegen pro Sekunde +{0} {b}. Überschreitet {b} {1}, wird dieser Effekt zurückgesetzt und {2} fliegende Dolche werden entfesselt, die {3} Schaden verursachen.","Ganha +{0} de {b} por segundo enquanto se move. Quando {b} ultrapassar {1}, redefine esse efeito e libera {2} adagas voadoras, causando {3} de dano.","Vous gagnez {0} points d'{b} par seconde quand vous vous déplacez. Quand votre {b} dépasse {1}, l'effet se réinitialise et vous libérez {2} dagues volantes qui infligent {3} points de dégâts.","При движении дается {b} +{0} в секунду. Если {b} превышает {1}, эффект сбрасывается и выпускаются {2} летающих кинжала, наносящих {3} ед. урона.","Podczas poruszania się co sekundę zyskujesz +{0} do: {b}. Gdy wartość cechy {b} przekracza {1} pkt, efekt się resetuje i strzela {2} latającymi sztyletami, które zadają {3} pkt obrażeń.",,,"ได้ รับ + {0}  {b} ต่อ วินาที ขณะ เคลื่อนที่ เมื่อ {b} เกิน กว่า  {1} , รี เซ็ต เอฟเฟกต์ นี้ และ ปล่อย มีด บิน  {2}  เล่ม สร้าง ความ เสีย หาย  {3}  หน่วย","Khi di chuyển mỗi giây +{0}{b}, khi {b} lớn hơn {1} sẽ đặt lại hiệu ứng này và phóng ra {2} thanh Phi Đao, gây {3} DMG."
aram2_yaoqi_desc_33,"When overhealed, bombards the surrounding area, dealing {0} damage. For every {1} {a}, deals {2}% more damage.",過量治療時轟擊周圍區域，造成{0}傷害，每{1}{a}使傷害提高{2}%。,过量治疗时轰击周围区域，造成{0}伤害，每{1}{a}使伤害提高{2}%。,オーバーヒール時、周囲を爆撃し、{0}ダメージを与える。{a}{1}ごとに、与えるダメージが{2}%増加する。,과치유 시 주변에 폭격을 가해 대미지를 {0} 줍니다. {a} {1}마다 대미지가 {2}% 증가합니다.,"Cuando hay un exceso de curación, se bombardea el área circundante y se inflige {0} de daño. Por cada {1} de {a}, se inflige un {2} % más de daño.","Bei Überheilung wird die Umgebung bombardiert, was {0} Schaden verursacht. Pro {1} {a} wird {2} % mehr Schaden verursacht.","Se estiver com vida excedente, bombardeia a área ao redor, causando {0} de dano. Para cada {1} {a}, causa {2}% mais dano.","Si les soins sont supérieurs à votre quantité de santé max, vous bombardez la zone environnante et infligez {0} points de dégâts. Vous infligez {2} % de dégâts supplémentaires tous les {1} points de {a} possédés.",При избыточном исцелении наносит {0} ед. урона по области. {a}: за кажд. {1} ед. наносит на {2}% больше урона.,"Przy nadmiarowym leczeniu bombarduje okolicę, co zadaje {0} pkt obrażeń. Co {1} pkt cechy {a} zwiększa obrażenia o {2}%.",,,เมื่อ ฟื้นฟู เกิน พลัง ชีวิต สูงสุด ทิ้ง ระเบิด ใส่ บริเวณ รอบ ตัว สร้าง ความ เสีย หาย  {0}  หน่วย ต่อ ทุก  {1}  {a} สร้าง ความ เสีย หาย เพิ่ม  {2} %,"Khi trị liệu quá liều sẽ oanh tạc khu vực xung qanh, gây {0} DMG, cứ {1}{a} khiến DMG tăng {2}%."
aram2_yaoqi_desc_34,"If {c} exceeds {0}, consumes {0} {c} to create a turret that deals {1} damage. Triggers only once per battle.",若{c}大於{0}，則消耗{0}{c}並創造一個炮臺，炮臺造成{1}傷害。一場戰鬥最多生效1次。,若{c}大于{0}，则消耗{0}{c}并创造一个炮台，炮台造成{1}伤害。一场战斗最多生效1次。,{c}が{0}を超えると、{c}を{0}消費して{1}ダメージを与えるタレットを設置する。1回の戦闘につき1回のみ発動する。,{c} {0} 초과 시 {c} {0}만큼을 소모해 {1} 대미지를 주는 포탑을 생성합니다. 전투당 1회만 발동합니다.,"Si {c} pasa de {0}, se usa {0} de {c} para crear una torreta que inflige {1} de daño. Solo se activa una vez por batalla.","Überschreitet {c} {0}, werden {0} {c} verbraucht, um einen Turm zu erschaffen, der {1} Schaden verursacht. Wird pro Kampf nur einmal ausgelöst.","Se {c} ultrapassar {0}, consome {0} de {c} para criar uma torreta que causa {1} de dano. É ativado apenas uma vez por batalha.","Si votre {c} dépasse {0}, vous consommez {0} points de {c} pour créer une tourelle qui inflige {1} points de dégâts. Ne peut se déclencher qu'une fois par combat.","Если {c} превышает {0}, расходуется {c} х{0} на создание турели, наносящей {1} урона. Срабатывает только 1 раз за бой.","Jeśli wartość cechy {c} przekracza {0}, zużywa to {0} pkt cechy {c}, by stworzyć wieżę zadającą {1} pkt obrażeń. Efekt aktywuje się tylko raz na walkę.",,,หาก {c} เกิน กว่า  {0}  ใช้  {0}  {c} เพื่อ สร้าง ป้อม ปืน ที่ สร้าง ความ เสีย หาย  {1}  เกิด ขึ้น ได้ หนึ่ง ครั้ง ต่อ การ ต่อสู้,"Nếu {c} lớn hơn {0}, thì sẽ tiêu hao {0}{c} và tạo ra 1 Pháo Đài, Pháo Đài gây {1} DMG. 1 trận chiến tối đa phát huy hiệu lực 1 lần."
aram2_yaoqi_desc_35,"Consumes up to {0} {d} at the start of each battle. For every {1} {d} consumed, summons a mirror image.",戰鬥開始時最多消耗{0}{d}，每消耗{1}{d}創造一個分身。,战斗开始时最多消耗{0}{d}，每消耗{1}{d}创造一个分身。,各戦闘開始時、{0}を最大{d}消費する。{d}を{1}消費するごとに、分身を召喚する。,전투 시작 시 최대 {d} {0}만큼을 소모합니다. 소모한 {d} {1}마다 분신을 1개 소환합니다.,"Se usa hasta {0} de {d} al inicio de cada batalla. Por cada {1} de {d} consumido, se invoca un reflejo.",Zu Beginn jedes Kampfes werden bis zu {0} {d} verbraucht. Pro {1} verbrauchten {d} wird ein Spiegelbild beschworen.,"Consome até {0} de {d} no início de cada batalha. Para cada {1} de {d} que consome, invoca uma cópia.",Consomme jusqu'à {0} points de {d} au début de chaque combat. Vous invoquez un clone tous les {1} points de {d} consommés.,"В начале каждого боя расходуется {d}, до {0} ед. {d}: за кажд. {1} ед. призывает зеркальное отражение.",Na początku każdej walki zużywa maksymalnie {0} pkt cechy {d}. Co {1} pkt zużytej cechy {d} przywołuje lustrzane odbicie.,,,ใช้ สูงสุด  {0}  {d} เมื่อ เริ่ม ต้น การ ต่อสู้ อัญเชิญ ร่าง แยก หนึ่ง ร่าง ต่อ ทุก  {1}  {d} ที่ ใช้ ไป,"Khi bắt đầu chiến đấu tiêu hao tối đa {0}{d}, cứ tiêu hao {1}{d} sẽ tạo ra 1 Phân Thân."
aram2_yaoqi_desc_36,"Weapon hits have a {0}% chance to deal random elemental damage. For every {1} {d}, deals {2} damage.",攻擊命中時有{0}%幾率造成一次隨機元素類型傷害，每{1}{d}造成{2}傷害。,攻击命中时有{0}%几率造成一次随机元素类型伤害，每{1}{d}造成{2}伤害。,武器攻撃が命中すると、{0}%の確率でランダムなエレメンタルダメージを与える。{d}{1}ごとに{2}ダメージを与える。,무기로 타격 시 {0}% 확률로 무작위 원소 대미지를 줍니다. {d} {1}마다 대미지를 {2} 줍니다.,"Los golpes de arma tienen un {0} % de probabilidad de infligir daño elemental aleatorio. Por cada {1} de {d}, se inflige {2} de daño.","Waffentreffer haben eine Chance von {0} %, zufälligen Elementschaden zu verursachen. Pro {1} {d} wird {2} Schaden verursacht.","Acertos de arma têm {0}% de chance de causar dano elemental aleatório. Para cada {1} de {d}, causa {2} de dano.",Vos coups ont {0} % de chances d'infliger des dégâts élémentaires aléatoires. Vous infligez {2} points de dégâts tous les {1} points de {d} possédés.,Попадания оружием с шансом в {0}% наносят случайный урон от стихий. {d}: за каждые {1} ед. наносит {2} ед. урона.,Trafienia bronią mają {0}% szansy na zadanie losowych obrażeń od żywiołów. Co {1} pkt cechy {d} zadaje {2} pkt obrażeń.,,,การ โจมตี ด้วย อาวุธ มี โอกาส  {0} % ที่ จะ สร้าง ความ เสีย หาย ธาตุ แบบ สุ่ม ต่อ ทุก  {1}  {d} สร้าง ความ เสีย หาย  {2}  หน่วย,"Khi tấn công trúng có {0}% tỷ lệ gây DMG loại Nguyên Tố ngẫu nhiên 1 lần, cứ {1}{d} gây {2} DMG."
aram2_yaoqi_desc_37,"For every {0} {a}, gains +{1} life steal.",每{0}{a}使生命竊取+{1}。,每{0}{a}使生命窃取+{1}。,{a}{0}ごとに、ライフ吸収+{1}を得る。,{a} {0}마다 생명력 흡수가 {1} 증가합니다.,"Por cada {0} de {a}, se obtiene +{1} de robo de vida.",Pro {0} {a} erhältst du +{1} Lebensraub.,"Para cada {0} de {a}, ganha +{1} de roubo de vida.",Le vol de vie augmente de {1} tous les {0} points de {a} possédés.,{a}: за кажд. {0} ед. получает +{1} к вампиризму.,Co {0} pkt cechy {a} zyskujesz +{1} do kradzieży życia.,,,ต่อ ทุก  {0}  {a} ได้ รับ ผล ขโมย พลัง ชีวิต + {1},Cứ {0}{a} khiến Cướp Mạng +{1}.
aram2_yaoqi_desc_38,Max health -{0}. Picking up an energy orb restores {1} health.,最大血量-{0}，拾取能量球時恢復{1}血量。,最大血量-{0}，拾取能量球时恢复{1}血量。,最大HP-{0}。エネルギーオーブを拾うと、HP{1}回復。,최대 체력 -{0}. 에너지 오브 획득 시 체력을 {1} 회복합니다.,Vida máx.: -{0}. Recolectar un orbe de energía restaura {1} de vida.,Max. LP -{0}. Das Aufheben einer Energiekugel stellt {1} LP wieder her.,-{0} de vida máxima. Pegar um orbe de energia recupera {1} de vida.,Santé max : -{0}. Ramassez un orbe d'énergie restaure {1} points de santé.,Макс. здоровье -{0}. Поднятие сферы энергии восстанавливает {1} ед. здоровья.,-{0} do maksymalnego zdrowia. Podniesienie sfery energii przywraca {1} pkt zdrowia.,,,พลัง ชีวิต สูงสุด - {0}  เมื่อ เก็บ ลูก แก้ว พลังงาน จะ ฟื้นฟู พลัง ชีวิต  {1}  หน่วย,"HP tối đa -{0}, khi nhặt Cầu Năng Lượng sẽ khôi phục {1} HP."
aram2_yaoqi_desc_39,"If both {a} and {b} exceed {0}, using a skill fires a magic missile that deals {1} damage.",{a}與{b}均大於{0}時，使用技能時發射魔法飛彈，魔法飛彈造成{1}傷害。,{a}与{b}均大于{0}时，使用技能时发射魔法飞弹，魔法飞弹造成{1}伤害。,{a}と{b}が{0}を超えると、スキル使用時にマジックミサイルを発射して{1}ダメージを与える。,"{a} 및 {b}이(가) {0} 초과 시, 스킬을 사용하면 대미지를 {1} 가하는 마법 미사일을 발사합니다.","Si tanto {a} como {b} pasan de {0}, se dispara un misil mágico que inflige {1} de daño al usar una habilidad.","Überschreiten sowohl {a} als auch {b} {0}, wird beim Einsatz einer Fähigkeit ein magisches Geschoss abgefeuert, das {1} Schaden verursacht.","Se {a} e {b} ultrapassarem {0}, usar uma habilidade dispara um míssil mágico que causa {1} de dano.","Si {a} et {b} dépassent {0}, vous lancez un missile magique qui inflige {1} point de dégâts quand vous utilisez une compétence.","Если и {a}, и {b} превышают {0}, при использовании навыка выпускается магическая ракета, наносящая {1} ед. урона.","Jeśli wartość zarówno: {a}, jak i: {b} przekracza {0} pkt, użycie umiejętności strzela magicznym pociskiem zadającym {1} pkt obrażeń.",,,หาก ทั้ง {a} และ {b} เกิน  {0}  เมื่อ ใช้ ทักษะ จะ ปล่อย มิส ไซล์ เวท ที่ สร้าง ความ เสีย หาย  {1}  หน่วย,"Khi {a} và {b} đều lớn hơn {0}, khi sử dụng kỹ năng sẽ bắn ra Đạn Phép Thuật, Đạn Phép Thuật gây {1} DMG."
aram2_yaoqi_desc_4,"Picking up a Rosemary Bean grants +{0}% movement speed for {2}s, up to +{1}%.",每次拾取迷迭豆移動速度+{0}%，最多+{1}%，持續{2}秒。,每次拾取迷迭豆移动速度+{0}%，最多+{1}%，持续{2}秒。,ローズマリー豆を拾うと、{2}秒間、移動速度が+{0}%になる。最大+{1}%。,"로즈메리 콩을 획득할 때마다 {2}초 동안 이동 속도가 {0}% 빨라지며, 이는 최대 {1}%까지 누적됩니다.","Recolectar un frijol de romero otorga un +{0} % de velocidad de movimiento durante {2} s, hasta un +{1} %.","Das Aufheben einer Rosmarinbohne gewährt für {2} Sek. +{0} % Bewegungsgeschwindigkeit, bis zu +{1} %.","Pegar um Feijão de Alecrim concede +{0}% de velocidade de movimento por {2} s, até +{1}%.",Votre vitesse de déplacement augmente de {0} % pendant {2} s quand vous ramassez des haricots de romarin (jusqu'à +{1} %).,"Поднятие боба Розмарина дает +{0}% к скорости передвижения на {2} сек., максимум +{1}%.",Podniesienie fasolki rozmarynu zapewnia +{0}% do szybkości ruchu na {2} s. Maksymalna premia: +{1}%.,,,เมื่อ เก็บ ถั่ว โรส แมรี่ จะ ได้ ความเร็ว เคลื่อนที่ + {0} % เป็น เวลา  {2}  วินาที สูงสุด + {1} %,"Mỗi lần nhặt Đậu Thất Lạc tốc độ di chuyển +{0}%, tối đa +{1}%, kéo dài {2}s."
aram2_yaoqi_desc_40,"If both {a} and {c} reach {0}, summon {1} treants. Treant deals {2} damage and has a {3}% chance to generate an energy orb.",{a}與{c}均達到{0}時召喚{1}個樹人。樹人攻擊造成{2}傷害，並有{3}%幾率產生一個能量球。,{a}与{c}均达到{0}时召唤{1}个树人。树人攻击造成{2}伤害，并有{3}%几率产生一个能量球。,{a}と{c}が{0}に達すると、トレントを{1}体召喚する。トレントは{2}ダメージを与え、{3}%の確率でエネルギーオーブを生成する。,"{a}및 {c}이(가) {0}에 도달하면 나무정령 {1}명을 소환합니다. 나무정령은 대미지를 {2} 가하고, {3}% 확률로 에너지 오브를 생성합니다.","Si tanto {a} como {c} llegan a {0}, se invoca a {1} treant. Estos infligen {2} de daño y tienen un {3} % de probabilidad de generar un orbe de energía.","Erreichen sowohl {a} als auch {c} {0}, werden {1} Ents beschworen. Ein Ent verursacht {2} Schaden und hat eine Chance von {3} %, eine Energiekugel zu erzeugen.","Se {a} e {c} alcançarem {0}, invoca {1} entes. Entes causam {2} de dano e tem {3}% de chance de gerar um orbe de energia.","Si {a} et {c} atteignent {0}, vous invoquez {1} hommes-arbres. Les hommes-arbres infligent {2} points de dégâts et ont {3} % de chances de générer un orbe d'énergie.","Если и {a}, и {c} достигают {0}, призываются энты х{1}. Энт наносит {2} ед. урона и с шансом в {3}% создает сферу энергии.","Jeśli wartość zarówno: {a}, jak i: {c} to co najmniej {0} pkt, przywołuje {1} drzewce, które zadają {2} pkt obrażeń i mają {3}% szansy na generację sfery energii.",,,หาก ทั้ง {a} และ {c} ถึง  {0}  อัญเชิญ เท รนต์  {1}  ตัว เท รนต์ สร้าง ความ เสีย หาย  {2}  หน่วย และ มี โอกาส  {3} % ที่ จะ สร้าง ลูก แก้ว พลังงาน,"Khi {a} và {c} đều đạt {0} sẽ triệu hồi {1} Người Cây. Người Cây tấn công gây {2} DMG, và có {3}% tỷ lệ tạo ra 1 Cầu Năng Lượng."
aram2_yaoqi_desc_41,"If both {a} and {d} exceed {0}, weapons can attack two extra times. Cooldown: {1}s.",{a}與{d}均大於{0}時武器會額外攻擊2次，冷卻{1}秒。,{a}与{d}均大于{0}时武器会额外攻击2次，冷却{1}秒。,{a}と{d}が{0}を超えると、武器攻撃が2回追加で発動できるようになる。クールダウン：{1}秒。,"{a} 및 {d}이(가) {0} 초과 시, 무기가 2회 추가 공격을 할 수 있습니다. 대기 시간: {1}초.","Si tanto {a} como {d} pasan de {0}, las armas pueden atacar dos veces más. Enfriamiento: {1} s.","Überschreiten sowohl {a} als auch {d} {0}, können Waffen zwei zusätzliche Male angreifen. Abklingzeit: {1} Sek.","Se {a} e {d} ultrapassarem {0}, as armas podem atacar mais duas vezes. Espera: {1} s.","Si {a} et {d} dépassent {0}, les armes peuvent attaquer deux fois de plus. Temps de recharge : {1} s.","Если и {a}, и {d} превышают {0}, оружие может атаковать еще 2 раза. Восстановление: {1} сек.","Jeśli wartość zarówno: {a}, jak i: {d} przekracza {0} pkt, bronie mogą atakować dwa dodatkowe razy. Czas odnowienia: {1} s.",,,หาก ทั้ง {a} และ {d} เกิน  {0}  อาวุธ สามารถ โจมตี เพิ่ม เติม ได้ สอง ครั้ง คู ลดา วน์:  {1}  วินาที,"Khi {a} và {d} đều lớn hơn {0} Vũ Khí sẽ tấn công thêm 2 lần, CD {1}s."
